id;comment;sent_date;read;format;company;referenced_user;employee_id
1;Nevada;2019-09-27T15:18:48;true;WELCOME;58987;Coordinator Cambridgeshire Investor;1
2;cross-platform Borders;2019-09-27T03:42:57;true;ACCEPT_INVITE;49919;Alaska;2
3;deposit Chips Applications;2019-09-26T18:40:02;false;NEW_EMPLOYEE;33075;Venezuela Wisconsin;3
4;SDD disintermediate reinvent;2019-09-26T21:08:04;false;WELCOME;37268;matrix calculating;4
5;Arkansas Intelligent Credit Card Account;2019-09-26T17:48:01;false;WELCOME;29529;portal calculating Metal;5
6;real-time discrete redundant;2019-09-26T22:07:08;false;COMPANY_DELETED;62789;olive Handcrafted Cotton Bacon Unbranded Fresh Pants;6
7;incubate;2019-09-27T15:18:21;false; REJECT_REQUEST;15504;Specialist generating;7
8;Computers Small Fresh Gloves back-end;2019-09-27T14:30:43;false;COMPANY_DELETED;96525;Club backing up;8
9;Iran;2019-09-27T04:35:11;true;INVITATION;96953;card Licensed Cotton Ball;9
10;mindshare Gorgeous;2019-09-27T16:57:11;false; REJECT_REQUEST;5819;Corporate;10
